Time,Reference,Target
22.42,70.52,
22.44,70.72,
22.46,70.77,
22.48,71.07,
22.5,71.18,
22.52,71.09,
22.54,71.01,
22.56,70.87,
22.58,70.44,
22.6,70.55,
22.62,71,
22.64,71.52,
22.66,72.14,
22.68,72.59,
22.7,73,
22.72,73.24,
22.74,73.47,
22.76,73.23,
22.78,73.3,
22.8,73.37,
22.82,73.39,
22.84,73.5,
22.86,73.74,
22.88,74.03,
22.9,74.39,
22.92,75.01,
22.94,75.19,
22.96,75.46,
22.98,75.56,
23,75.84,75.84
23.02,76.1,
23.04,76.57,
23.06,76.85,
23.08,77.3,
23.1,77.61,77.61
23.12,77.82,
23.14,78.47,
23.16,78.8,78.8
23.18,79.09,
23.2,79.69,79.69
23.22,80.21,80.21
23.24,80.63,80.63
23.26,81.18,81.18
23.28,81.66,81.66
23.3,82.08,82.08
23.32,82.69,82.69
23.34,83.24,83.24
23.36,83.78,83.78
23.38,84.37,84.37
23.4,84.86,84.86
23.42,85.32,85.32
23.44,85.86,85.86
23.46,86.22,86.22
23.48,86.53,86.53
23.5,86.81,86.81
23.52,86.97,86.97
23.54,86.68,86.68
23.56,86.69,86.69
23.58,86.69,86.69
23.6,86.65,86.65
23.62,86.42,86.42
23.64,86.45,86.45
23.66,86.74,86.74
23.68,86.38,86.38
23.7,85.69,85.69
23.72,85.02,85.02
23.74,84.54,84.54
23.76,84.16,84.16
23.78,83.31,83.31
23.8,81.74,81.74
23.82,80.17,80.17
23.84,78.44,78.44
23.86,76.73,76.73
23.88,75.13,75.13
23.9,73.41,
23.92,71.45,
23.94,69.79,
23.96,67.89,
23.98,66,
24,64.31,
24.02,62.09,
24.04,60.04,
24.06,57.7,57.7
24.08,56.06,
24.1,52.56,
24.12,52.21,
24.14,51.71,
24.16,51.31,
24.18,51.18,
24.2,51.07,
24.22,50.36,50.36
24.24,50.13,
24.26,49.15,
24.28,47.4,
24.3,46.29,46.29
24.32,46.28,46.28
24.34,46.76,46.76
24.36,47.42,47.42
24.38,47.79,47.79
24.4,47.93,47.93
24.42,48.23,48.23
24.44,48.1,48.1
24.46,48.3,48.3
24.48,48.16,48.16
24.5,47.91,47.91
24.52,47.58,47.58
24.54,46.63,46.63
24.56,45.66,45.66
24.58,44.73,44.73
24.6,43.94,43.94
24.62,43.23,43.23
24.64,42.75,42.75
24.66,42.61,42.61
24.68,42.32,42.32
24.7,42.15,42.15
24.72,41.44,41.44
24.74,40.32,40.32
24.76,39.98,39.98
24.78,39.21,
24.8,38.73,
24.82,37.41,
24.84,35.73,
24.86,33.87,
24.88,32.44,
24.9,31.25,
24.92,30.37,
24.94,29.69,29.69
24.96,28.79,
24.98,27.94,
25,26.69,
25.02,25.41,
25.04,24.15,
25.06,22.89,
25.08,19.86,
25.1,18.53,
25.12,16.97,
25.14,15.17,
25.16,13.43,
25.18,11.95,
25.2,10.83,
25.22,9.88,
25.24,9.1,
25.26,8.34,8.34
25.28,7.65,
25.3,6.79,
25.32,5.62,
25.34,4.49,
25.36,3.51,
25.38,0,
25.4,0,
25.42,0,
25.44,0,
25.46,0,
25.48,0,
25.5,0,
25.52,0,
25.54,0,
25.56,0,
25.58,0,
25.6,0,
25.62,0,
25.64,0,
25.66,3.44,
25.68,5.68,
25.7,7.95,
25.72,10.02,
25.74,12.21,
25.76,14.58,
25.78,16.87,16.87
25.8,19.03,
25.82,21.05,
25.84,22.78,
25.86,24.01,
25.88,24.52,
25.9,24.66,
25.92,24.48,24.48
25.94,24.19,24.19
25.96,23.97,23.97
25.98,24.41,24.41
26,25.1,25.1
26.02,26.24,26.24
26.04,27.4,27.4
26.06,28.74,28.74
